# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1002787f | 83 | ASCII | ??0ShellRunTask@Utility@Outpop@@QAE@AAVIServiceHandler@12@PAXAAVManual_Event@12@@Z
0x100278d2 | 46 | ASCII | ??0ShellRunTask@Utility@Outpop@@QAE@ABV012@@Z
0x10027900 | 50 | ASCII | ??0Singleton_Holder@Utility@Outpop@@QAE@ABV012@@Z
0x10027932 | 43 | ASCII | ??0Singleton_Holder@Utility@Outpop@@QAE@XZ
0x1002795d | 51 | ASCII | ??0Singleton_Manager@Utility@Outpop@@QAE@ABV012@@Z
0x10027990 | 44 | ASCII | ??0Singleton_Manager@Utility@Outpop@@QAE@XZ
0x100279bc | 49 | ASCII | ??0StreamException@Utility@Outpop@@QAE@ABV012@@Z
0x100279ed | 130 | ASCII | ??0StreamException@Utility@Outpop@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@HPAVoutpop_exception@12@@Z
0x10027a6f | 49 | ASCII | ??0Stream_Base@Utility@Outpop@@QAE@AAV012@HH_N@Z
0x10027aa0 | 39 | ASCII | ??0Stream_Base@Utility@Outpop@@QAE@H@Z
0x10027ac7 | 63 | ASCII | ??0Sub_Barrier_T@Utility@Outpop@@QAE@IAAVThread_Mutex@12@PAX@Z
0x10027b06 | 45 | ASCII | ??0TF_RW_Thread_Mutex@Utility@Outpop@@QAE@XZ
0x10027b33 | 36 | ASCII | ??0TF_cout_t@Utility@Outpop@@QAE@XZ
0x10027b57 | 38 | ASCII | ??0TF_rwlock_t@Utility@Outpop@@QAE@XZ
0x10027b7d | 38 | ASCII | ??0Task@Utility@Outpop@@QAE@ABV012@@Z
0x10027ba3 | 31 | ASCII | ??0Task@Utility@Outpop@@QAE@XZ
0x10027bc2 | 48 | ASCII | ??0Thread_Message@Utility@Outpop@@QAE@ABV012@@Z
0x10027bf2 | 41 | ASCII | ??0Thread_Message@Utility@Outpop@@QAE@XZ
0x10027c1b | 39 | ASCII | ??0Thread_Mutex@Utility@Outpop@@QAE@XZ
0x10027c42 | 51 | ASCII | ??0Time_Value@Utility@Outpop@@QAE@ABU_FILETIME@@@Z
0x10027c75 | 52 | ASCII | ??0Time_Value@Utility@Outpop@@QAE@ABUtimespec@12@@Z
