# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1003c6a4 | 131 | ASCII | ?handle_time_out@Dgram_Connector@IONetwork@Outpop@@UAEXABVTime_Value@Utility@3@0AAV?$Smart_Ptr@VRef_Object@Utility@Outpop@@@53@J@Z
0x1003c72a | 76 | ASCII | ?initialize@Dgram_Connector@IONetwork@Outpop@@UAEXAAUConnector_Config@23@@Z
0x1003c778 | 107 | ASCII | ?connect@Dgram_Connector@IONetwork@Outpop@@UAEHAAV?$Smart_Ptr@VBinary_Stream@Utility@Outpop@@@Utility@3@@Z
0x1003c7e6 | 48 | ASCII | ?close@Dgram_Connector@IONetwork@Outpop@@UAEXXZ
0x1003c818 | 52 | ASCII | ?is_close@Dgram_Connector@IONetwork@Outpop@@UAE_NXZ
0x1003c84e | 138 | ASCII | ?on_new_channel@Dgram_Connector@IONetwork@Outpop@@UAEXAAUIO_Channel_Config@23@HHV?$Smart_Ptr@VBinary_Stream@Utility@Outpop@@@Utility@3@@Z
0x1003c8da | 45 | ASCII | ??0INET_Addr@IONetwork@Outpop@@QAE@ABV012@@Z
0x1003c90a | 51 | ASCII | ??0WIN32_IoCompletionPort@IONetwork@Outpop@@QAE@XZ
0x1003c940 | 57 | ASCII | ?open@WIN32_IoCompletionPort@IONetwork@Outpop@@QAEHPAX@Z
0x1003c97c | 55 | ASCII | ?close@WIN32_IoCompletionPort@IONetwork@Outpop@@QAEHXZ
0x1003c9b6 | 64 | ASCII | ?run_event_loop@WIN32_IoCompletionPort@IONetwork@Outpop@@QAEHXZ
0x1003c9f8 | 64 | ASCII | ?end_event_loop@WIN32_IoCompletionPort@IONetwork@Outpop@@QAEHXZ
0x1003ca38 | 14 | ASCII | IONetwork.dll
0x1003ca48 | 13 | ASCII | GetLastError
0x1003ca58 | 19 | ASCII | GetCurrentThreadId
0x1003ca6e | 20 | ASCII | GetCurrentProcessId
0x1003ca84 | 21 | ASCII | InterlockedIncrement
0x1003ca9a | 13 | ASCII | KERNEL32.dll
0x1003caaa | 122 | ASCII | ??$?8DU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z
0x1003cb26 | 71 | ASCII | ??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ
