# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1006d38a | 13 | ASCII | KERNEL32.dll
0x1006d39a | 21 | ASCII | CryptAcquireContextA
0x1006d3b2 | 16 | ASCII | CryptDestroyKey
0x1006d3c4 | 20 | ASCII | CryptReleaseContext
0x1006d3da | 16 | ASCII | CryptCreateHash
0x1006d3ec | 14 | ASCII | CryptHashData
0x1006d3fc | 15 | ASCII | CryptDeriveKey
0x1006d40e | 17 | ASCII | CryptDestroyHash
0x1006d422 | 13 | ASCII | CryptEncrypt
0x1006d432 | 13 | ASCII | CryptDecrypt
0x1006d442 | 15 | ASCII | CryptImportKey
0x1006d454 | 12 | ASCII | CryptGenKey
0x1006d462 | 16 | ASCII | CryptGetUserKey
0x1006d474 | 15 | ASCII | CryptExportKey
0x1006d484 | 13 | ASCII | ADVAPI32.dll
0x1006d494 | 77 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z
0x1006d4e4 | 71 | ASCII | ??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ
0x1006d52e | 71 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ
0x1006d578 | 79 | ASCII | ??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@PBD@Z
0x1006d5ca | 74 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@PBD@Z
0x1006d616 | 82 | ASCII | ??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@ABV01@@Z
0x1006d66a | 57 | ASCII | ?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A
0x1006d6a6 | 67 | ASCII | ?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z
0x1006d6ec | 61 | ASCII | ?_Lock@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEXXZ
0x1006d72c | 64 | ASCII | ?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ
0x1006d76e | 59 | ASCII | ?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ
0x1006d7ac | 32 | ASCII | ?uncaught_exception@std@@YA_NXZ
0x1006d7ce | 63 | ASCII | ?_Unlock@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEXXZ
0x1006d810 | 62 | ASCII | ?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z
0x1006d850 | 61 | ASCII | ?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z
0x1006d890 | 65 | ASCII | ?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHPBDH@Z
0x1006d8d4 | 77 | ASCII | ??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z
0x1006d924 | 122 | ASCII | ??$?8DU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z
0x1006d9a0 | 120 | ASCII | ??$?MDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@0@Z
0x1006da1a | 85 | ASCII | ?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z
0x1006da72 | 143 | ASCII | ?end@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ
0x1006db04 | 145 | ASCII | ?begin@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ
0x1006db96 | 12 | ASCII | MSVCP80.dll
0x1006dba4 | 13 | ASCII | ??3@YAXPAX@Z
0x1006dbb4 | 14 | ASCII | ??_V@YAXPAX@Z
0x1006dbc4 | 30 | ASCII | ?what@exception@std@@UBEPBDXZ
0x1006dbe4 | 13 | ASCII | ??2@YAPAXI@Z
0x1006dbf4 | 15 | ASCII | _vswprintf_c_l
0x1006dc06 | 8 | ASCII | wprintf
0x1006dc10 | 8 | ASCII | strncat
0x1006dc1a | 8 | ASCII | sprintf
0x1006dc24 | 8 | ASCII | _strdup
0x1006dc2e | 8 | ASCII | strrchr
0x1006dc38 | 7 | ASCII | strtol
0x1006dc4a | 10 | ASCII | _purecall
0x1006dc56 | 7 | ASCII | malloc
0x1006dc60 | 30 | ASCII | ??0exception@std@@QAE@ABQBD@Z
0x1006dc80 | 31 | ASCII | ??0exception@std@@QAE@ABV01@@Z
0x1006dca2 | 25 | ASCII | ??1exception@std@@UAE@XZ
0x1006dcbe | 26 | ASCII | _invalid_parameter_noinfo
0x1006dcda | 25 | ASCII | ??0exception@std@@QAE@XZ
0x1006dcf6 | 10 | ASCII | memmove_s
0x1006dd02 | 36 | ASCII | ??4exception@std@@QAEAAV01@ABV01@@Z
0x1006dd28 | 8 | ASCII | _time64
0x1006dd32 | 6 | ASCII | srand
0x1006dd48 | 12 | ASCII | MSVCR80.dll
0x1006dd56 | 18 | ASCII | ?terminate@@YAXXZ
0x1006dd6a | 8 | ASCII | _unlock
0x1006dd74 | 16 | ASCII | _encode_pointer
0x1006dd86 | 12 | ASCII | __dllonexit
0x1006dd94 | 6 | ASCII | _lock
0x1006dd9c | 8 | ASCII | _onexit
0x1006dda6 | 16 | ASCII | _decode_pointer
