# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1002e6ef | 40 | ASCII | ??4Peer@P2P@Outpop@@QAEAAV012@ABV012@@Z
0x1002e717 | 32 | ASCII | ??_7P2P_Context@P2P@Outpop@@6B@
0x1002e737 | 59 | ASCII | ??_7Peer@P2P@Outpop@@6BChannel_Error_Handler@IONetwork@2@@
0x1002e772 | 53 | ASCII | ??_7Peer@P2P@Outpop@@6BChannel_Handler@IONetwork@2@@
0x1002e7a7 | 58 | ASCII | ??_7Peer@P2P@Outpop@@6BP2P_Acceptor_Handler@IONetwork@2@@
0x1002e7e1 | 46 | ASCII | ??_7Peer@P2P@Outpop@@6BRef_Object@Utility@2@@
0x1002e80f | 134 | ASCII | ?OnCooperateConnect@Peer@P2P@Outpop@@IAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAVINET_Addr@IONetwork@3@1@Z
0x1002e895 | 48 | ASCII | ?OnDetectNetworkResult@Peer@P2P@Outpop@@IAEXH@Z
0x1002e8c5 | 36 | ASCII | ?OnKPError@Peer@P2P@Outpop@@IAEXH@Z
0x1002e8e9 | 41 | ASCII | ?OnReportSucceed@Peer@P2P@Outpop@@IAEXXZ
0x1002e912 | 119 | ASCII | ?OnRequestRemoteConnectFailed@Peer@P2P@Outpop@@IAEXHABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x1002e989 | 52 | ASCII | ?OnSAPError@Peer@P2P@Outpop@@IAEXW4ESAPError@23@H@Z
0x1002e9bd | 136 | ASCII | ?OnSAPGetPeerAddress@Peer@P2P@Outpop@@IAEXHABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAVINET_Addr@IONetwork@3@1@Z
0x1002ea45 | 82 | ASCII | ?OnUPNPMapSucceed@Peer@P2P@Outpop@@IAEXW4EUPNPState@23@GPAVTSocket@IONetwork@3@@Z
0x1002ea97 | 66 | ASCII | ?OnUPNPStateChangeResult@Peer@P2P@Outpop@@IAEXW4EUPNPState@23@G@Z
0x1002ead9 | 64 | ASCII | ?c_network_type_to_string@P2P@Outpop@@YAPBDW4ENetworkType@12@@Z
0x1002eb19 | 60 | ASCII | ?c_upnp_state_to_string@P2P@Outpop@@YAPBDW4EUPNPState@12@@Z
0x1002eb55 | 104 | ASCII | ?change_peer_id@Peer@P2P@Outpop@@QAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
