# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x101be120 | 26 | ASCII | RelativeIndexOfRefraction
0x101be13c | 19 | ASCII | PredefinedMatIndex
0x101be150 | 9 | ASCII | Adaptive
0x101be15c | 17 | ASCII | RobustMeshRefine
0x101be170 | 30 | ASCII | RobustMeshRefineMinEdgeLength
0x101be190 | 26 | ASCII | RobustMeshRefineMaxSubdiv
0x101be1ac | 11 | ASCII | AdaptiveDL
0x101be1b8 | 24 | ASCII | AdaptiveDLMinEdgeLength
0x101be1d0 | 20 | ASCII | AdaptiveDLThreshold
0x101be1e4 | 20 | ASCII | AdaptiveDLMaxSubdiv
0x101be1f8 | 15 | ASCII | AdaptiveBounce
0x101be208 | 28 | ASCII | AdaptiveBounceMinEdgeLength
0x101be224 | 24 | ASCII | AdaptiveBounceThreshold
0x101be23c | 24 | ASCII | AdaptiveBounceMaxSubdiv
0x101be254 | 12 | ASCII | NumClusters
0x101be260 | 7 | ASCII | NumPCA
0x101be268 | 9 | ASCII | PerPixel
0x101be274 | 12 | ASCII | TextureSize
0x101be288 | 8 | ASCII | PRTFile
0x101be290 | 8 | ASCII | Enabled
0x101be298 | 11 | ASCII | PRTEnabled
0x101be2b4 | 6 | ASCII | Light
0x101be2bc | 9 | ASCII | NodeType
0x101be2c8 | 11 | ASCII | GeomObject
0x101be2d4 | 9 | ASCII | NodeType
0x101be2e0 | 12 | ASCII | WorldBoxMin
0x101be2ec | 12 | ASCII | WorldBoxMax
0x101be2f8 | 7 | ASCII | NodeTM
0x101be320 | 17 | ASCII | CustomProperties
0x101be334 | 6 | ASCII | Actor
0x101be344 | 6 | ASCII | Class
0x101be34c | 8 | ASCII | BakedTM
0x101be374 | 7 | ASCII | Script
0x101be384 | 6 | ASCII | Class
0x101be38c | 7 | ASCII | Parent
0x101be394 | 13 | ASCII | IncludeModel
0x101be3a4 | 6 | ASCII | Param
0x101be3b4 | 6 | ASCII | Value
0x101be3bc | 12 | ASCII | ExcludeList
0x101be3c8 | 6 | ASCII | Count
0x101be3d0 | 8 | ASCII | Include
0x101be3d8 | 6 | ASCII | Light
0x101be3e8 | 14 | ASCII | OcclusionList
0x101be3f8 | 6 | ASCII | Count
0x101be400 | 6 | ASCII | Actor
0x101be410 | 15 | ASCII | CollisionModel
0x101be420 | 7 | ASCII | NodeTM
0x101be448 | 18 | ASCII | RelativeTransform
0x101be47c | 14 | ASCII | SelectionList
0x101be494 | 6 | ASCII | Items
0x101be4a4 | 10 | ASCII | ActorGUID
